,y,date
562,1500,2021-08-06
563,1500,2021-08-07
564,1500,2021-08-08
565,1475,2021-08-09
566,1466,2021-08-10
567,1500,2021-08-11
568,1500,2021-08-12
569,1500,2021-08-13
570,1500,2021-08-14
571,1500,2021-08-15
572,1500,2021-08-16
573,1525,2021-08-17
574,1575,2021-08-18
575,1600,2021-08-19
576,1600,2021-08-20
577,1600,2021-08-21
578,1600,2021-08-22
579,1600,2021-08-23
580,1636,2021-08-24
581,1639,2021-08-25
582,1644,2021-08-26
583,1639,2021-08-27
584,1636,2021-08-28
585,1644,2021-08-29
586,1650,2021-08-30
587,1650,2021-08-31
588,1656,2021-09-01
589,1671,2021-09-02
590,1671,2021-09-03
591,1671,2021-09-04
592,1676,2021-09-05
593,1676,2021-09-06
594,1714,2021-09-07
595,1745,2021-09-08
596,1755,2021-09-09
597,1780,2021-09-10
598,1794,2021-09-11
599,1809,2021-09-12
600,1825,2021-09-13
601,1825,2021-09-14
602,1825,2021-09-15
603,1859,2021-09-16
604,1859,2021-09-17
605,1874,2021-09-18
606,1874,2021-09-19
607,1884,2021-09-20
608,1935,2021-09-21
609,1925,2021-09-22
610,1935,2021-09-23
611,1935,2021-09-24
612,1935,2021-09-25
613,1935,2021-09-26
614,1941,2021-09-27
615,1941,2021-09-28
616,1925,2021-09-29
617,1935,2021-09-30
618,1941,2021-10-01
619,1925,2021-10-02
620,1925,2021-10-03
621,1890,2021-10-04
622,1890,2021-10-05
623,1890,2021-10-06
624,1859,2021-10-07
625,1850,2021-10-08
626,1840,2021-10-09
627,1840,2021-10-10
628,1837,2021-10-11
629,1837,2021-10-12
630,1837,2021-10-13
631,1823,2021-10-14
632,1816,2021-10-15
633,1816,2021-10-16
634,1816,2021-10-17
635,1816,2021-10-18
636,1816,2021-10-19
637,1816,2021-10-20
638,1809,2021-10-21
639,1799,2021-10-22
640,1799,2021-10-23
641,1809,2021-10-24
642,1816,2021-10-25
643,1837,2021-10-26
644,1838,2021-10-27
645,1838,2021-10-28
646,1841,2021-10-29
647,1841,2021-10-30
648,1841,2021-10-31
649,1850,2021-11-01
650,1841,2021-11-02
651,1869,2021-11-03
652,1875,2021-11-04
653,1875,2021-11-05
654,1882,2021-11-06
655,1882,2021-11-07
656,1882,2021-11-08
657,1885,2021-11-09
658,1882,2021-11-10
659,1882,2021-11-11
660,1885,2021-11-12
661,1909,2021-11-13
662,1911,2021-11-14
663,1911,2021-11-15
664,1921,2021-11-16
665,1941,2021-11-17
666,1950,2021-11-18
667,1990,2021-11-19
668,1996,2021-11-20
669,1996,2021-11-21
670,1996,2021-11-22
671,1996,2021-11-23
672,1996,2021-11-24
673,1996,2021-11-25
674,1996,2021-11-26
675,1996,2021-11-27
676,1996,2021-11-28
677,2000,2021-11-29
678,2000,2021-11-30
679,1996,2021-12-01
680,2002,2021-12-02
681,2011,2021-12-03
682,2012,2021-12-04
683,2012,2021-12-05
684,2012,2021-12-06
685,2020,2021-12-07
686,2022,2021-12-08
687,2022,2021-12-09
688,2022,2021-12-10
689,2022,2021-12-11
690,2022,2021-12-12
691,2025,2021-12-13
692,2025,2021-12-14
693,2025,2021-12-15
694,2022,2021-12-16
695,2020,2021-12-17
696,2018,2021-12-18
697,2016,2021-12-19
698,2007,2021-12-20
699,1990,2021-12-21
700,1980,2021-12-22
701,1974,2021-12-23
702,1950,2021-12-24
703,1950,2021-12-25
704,1891,2021-12-26
705,1891,2021-12-27
706,1887,2021-12-28
707,1887,2021-12-29
708,1887,2021-12-30
709,1887,2021-12-31
710,1843,2022-01-01
711,1838,2022-01-02
712,1838,2022-01-03
713,1822,2022-01-04
714,1799,2022-01-05
715,1799,2022-01-06
716,1790,2022-01-07
717,1790,2022-01-08
718,1798,2022-01-09
719,1790,2022-01-10
720,1790,2022-01-11
721,1774,2022-01-12
722,1775,2022-01-13
723,1774,2022-01-14
724,1752,2022-01-15
725,1751,2022-01-16
726,1751,2022-01-17
727,1740,2022-01-18
728,1740,2022-01-19
729,1740,2022-01-20
730,1740,2022-01-21
731,1740,2022-01-22
732,1740,2022-01-23
733,1740,2022-01-24
734,1740,2022-01-25
735,1735,2022-01-26
736,1700,2022-01-27
737,1691,2022-01-28
738,1674,2022-01-29
739,1663,2022-01-30
740,1649,2022-01-31
741,1649,2022-02-01
742,1610,2022-02-02
743,1610,2022-02-03
744,1574,2022-02-04
745,1565,2022-02-05
746,1549,2022-02-06
747,1537,2022-02-07
748,1537,2022-02-08
749,1537,2022-02-09
750,1525,2022-02-10
751,1440,2022-02-11
752,1421,2022-02-12
753,1421,2022-02-13
754,1416,2022-02-14
755,1400,2022-02-15
